               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066147,            0.046261,            0.015206,              0.8161,             0.76931,             0.84562,             0.43288,            0.039644,            0.023556,           0.0044748,            0.070028,           0.0033302,           0.0033302
                   1,            0.048239,            0.038316,           0.0054783,             0.91575,             0.84002,             0.91206,             0.50853,            0.034131,            0.021714,            0.002889,            0.039809,           0.0064436,           0.0064436
                   2,            0.044337,            0.037347,            0.004403,             0.91506,             0.84616,             0.91941,             0.54689,            0.032689,            0.021606,           0.0028598,           0.0093686,            0.009337,            0.009337
                   3,            0.040801,            0.036605,           0.0040804,              0.9271,             0.86281,             0.92921,             0.55942,            0.031606,            0.021116,           0.0022414,             0.00901,             0.00901,             0.00901
                   4,            0.038363,             0.03599,           0.0033708,             0.93353,             0.86782,             0.93619,             0.57694,             0.03036,            0.020588,           0.0017414,             0.00901,             0.00901,             0.00901
                   5,            0.036791,             0.03475,           0.0030913,             0.92551,             0.88228,             0.93968,             0.57708,            0.030102,             0.02018,            0.001763,             0.00868,             0.00868,             0.00868
                   6,            0.035797,            0.034204,           0.0027967,             0.92587,             0.88154,             0.94271,             0.60071,            0.028985,            0.019687,           0.0016271,             0.00835,             0.00835,             0.00835
                   7,            0.034892,            0.033358,           0.0026487,               0.935,             0.88193,             0.94504,             0.60502,            0.028774,            0.019577,           0.0014851,             0.00802,             0.00802,             0.00802
                   8,            0.034314,            0.032797,           0.0024611,             0.93458,             0.89125,             0.94961,             0.60133,            0.028901,            0.019588,           0.0014613,             0.00769,             0.00769,             0.00769
                   9,            0.033913,            0.032392,           0.0024141,              0.9346,             0.89291,             0.95224,             0.60888,            0.028647,            0.019531,           0.0014875,             0.00736,             0.00736,             0.00736
                  10,             0.03349,            0.032156,           0.0022449,             0.93594,             0.89531,             0.95229,              0.6116,            0.028475,            0.019435,           0.0013067,             0.00703,             0.00703,             0.00703
                  11,            0.033101,             0.03197,           0.0022714,              0.9379,             0.88893,             0.95014,             0.61483,            0.028303,            0.019315,           0.0013753,              0.0067,              0.0067,              0.0067
                  12,            0.032597,            0.031911,           0.0020705,             0.92757,             0.90632,             0.95368,             0.61879,            0.027993,            0.019103,           0.0012589,             0.00637,             0.00637,             0.00637
                  13,            0.032199,            0.031196,           0.0019909,              0.9332,             0.90728,             0.95344,             0.61825,            0.027958,            0.019153,           0.0012406,             0.00604,             0.00604,             0.00604
                  14,            0.032065,            0.031339,           0.0019015,             0.93983,             0.90063,             0.95578,             0.62382,            0.027776,            0.018996,           0.0012505,             0.00571,             0.00571,             0.00571
                  15,            0.031927,            0.031022,           0.0018537,              0.9365,             0.90141,             0.95592,             0.62585,            0.027622,            0.018915,           0.0011993,             0.00538,             0.00538,             0.00538
                  16,            0.031643,            0.031186,           0.0017921,             0.93153,             0.91123,             0.95659,             0.62875,            0.027504,            0.018871,           0.0012271,             0.00505,             0.00505,             0.00505
                  17,            0.031345,            0.030496,           0.0017074,             0.93541,             0.90607,             0.95797,             0.62852,            0.027442,            0.018846,           0.0012606,             0.00472,             0.00472,             0.00472
                  18,            0.030994,            0.030527,           0.0015988,             0.94074,             0.90183,             0.95766,             0.62931,            0.027401,            0.018781,           0.0012898,             0.00439,             0.00439,             0.00439
                  19,            0.030829,            0.030179,           0.0015315,             0.94142,             0.90909,             0.95852,              0.6317,            0.027254,            0.018753,           0.0012222,             0.00406,             0.00406,             0.00406
                  20,            0.030657,            0.029876,           0.0015161,             0.93439,              0.9146,             0.95917,             0.63476,            0.027186,            0.018635,           0.0011928,             0.00373,             0.00373,             0.00373
                  21,            0.030368,            0.029818,           0.0014228,             0.93509,             0.91268,             0.96154,             0.63439,            0.027149,            0.018685,           0.0011736,              0.0034,              0.0034,              0.0034
                  22,            0.030115,            0.029331,           0.0013604,             0.93495,             0.91392,             0.96101,             0.63848,            0.027007,            0.018565,           0.0011496,             0.00307,             0.00307,             0.00307
                  23,            0.029912,            0.029116,           0.0013983,             0.93635,             0.91467,             0.96099,             0.63676,            0.027012,            0.018627,           0.0011073,             0.00274,             0.00274,             0.00274
                  24,             0.02963,            0.028935,           0.0013037,             0.93498,             0.91631,             0.96144,              0.6388,            0.026974,            0.018541,           0.0011379,             0.00241,             0.00241,             0.00241
                  25,            0.029457,            0.029045,           0.0012463,             0.94066,             0.91373,             0.96097,             0.63754,            0.026959,            0.018562,           0.0012004,             0.00208,             0.00208,             0.00208
                  26,            0.029251,            0.028692,           0.0012504,             0.94316,             0.91114,              0.9609,             0.63931,            0.026976,            0.018538,           0.0011747,             0.00175,             0.00175,             0.00175
                  27,            0.028966,            0.028294,            0.001201,             0.94302,               0.912,             0.96111,             0.64227,             0.02685,             0.01844,           0.0011279,             0.00142,             0.00142,             0.00142
                  28,            0.028893,            0.028384,           0.0011155,             0.94299,              0.9113,             0.95942,              0.6407,            0.026844,             0.01846,           0.0012179,             0.00109,             0.00109,             0.00109
                  29,            0.028737,            0.027992,           0.0010612,             0.94217,             0.91667,             0.96136,             0.64204,            0.026825,            0.018443,            0.001218,             0.00076,             0.00076,             0.00076
